,Gene Start,Gene Size,Strand,Gene Product,Accession
0,69918,194,+,hypothetical protein_37,2724
1,72347,311,+,hypothetical protein_24,2728
2,73717,218,+,hypothetical protein_20,2730
3,145129,827,-,hypothetical protein_66,2792
4,145962,632,-,hypothetical protein_71,2793
5,146608,2360,-,hypothetical protein_67,2794
6,149059,926,-,Denitrification regulatory protein NirQ,2795
7,150220,635,-,Sporulation initiation inhibitor protein Soj,2797
8,150859,266,-,hypothetical protein_59,2798
9,151934,296,-,Major carboxysome shell protein 1A,2800
10,152331,248,-,hypothetical protein_68,2801
11,152579,257,-,Ethanolamine utilization protein EutN,2802
12,152850,1526,-,hypothetical protein_30,2803
13,154388,2705,-,hypothetical protein_82,2804
14,157196,326,-,Ribulose bisphosphate carboxylase small chain,2805
15,160179,326,-,hypothetical protein_75,2808
16,160502,1448,-,hypothetical protein_87,2809
