,Gene Start,Gene Size,Strand,Gene Product,Accession
0,270217,1697,+,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",4589
1,271921,761,+,hypothetical protein_113,4590
2,272667,3113,+,hypothetical protein_87,4591
3,275777,326,+,hypothetical protein_75,4592
4,278735,326,+,Ribulose bisphosphate carboxylase small chain,4595
5,279166,2675,+,hypothetical protein_82,4596
6,281853,1532,+,hypothetical protein_30,4597
7,283399,257,+,Ethanolamine utilization protein EutN,4598
8,283656,248,+,hypothetical protein_68,4599
9,284006,299,+,Major carboxysome shell protein 1A,4600
10,285116,266,+,hypothetical protein_59,4602
11,285386,635,+,Sporulation initiation inhibitor protein Soj,4603
12,286250,923,+,Denitrification regulatory protein NirQ,4605
13,287265,2360,+,hypothetical protein_67,4606
14,289639,632,+,hypothetical protein_71,4607
15,290277,827,+,hypothetical protein_66,4608
