,Gene Start,Gene Size,Strand,Gene Product,Accession
0,12016,827,-,hypothetical protein_66,3248
1,12849,632,-,hypothetical protein_71,3249
2,13495,2360,-,hypothetical protein_67,3250
3,15948,920,-,Denitrification regulatory protein NirQ,3251
4,17113,635,-,Sporulation initiation inhibitor protein Soj,3253
5,17752,266,-,hypothetical protein_59,3254
6,18679,296,-,Major carboxysome shell protein 1A,3257
7,19074,251,-,hypothetical protein_68,3258
8,19325,257,-,Ethanolamine utilization protein EutN,3259
9,19596,1526,-,hypothetical protein_30,3260
10,21134,2687,-,hypothetical protein_82,3261
11,23929,326,-,Ribulose bisphosphate carboxylase small chain,3262
12,26905,326,-,hypothetical protein_75,3265
