,Gene Start,Gene Size,Strand,Gene Product,Accession
0,585,3230,-,Tyrocidine synthase 3,1931
1,3820,9254,-,D-alanine--D-alanyl carrier protein ligase,1932
2,13261,215,+,Protein MbtH,1933
3,13486,2498,+,Aculeacin-A acylase,1934
4,15978,989,-,hypothetical protein_471,1935
5,17391,485,+,hypothetical protein_472,1936
6,19518,1109,+,DNA polymerase IV,1938
7,20697,1025,-,Arginine N-succinyltransferase,1939
8,21719,1244,-,Succinyl-diaminopimelate desuccinylase,1940
9,24653,377,+,hypothetical protein_127,1943
10,25111,1733,+,hypothetical protein_128,1944
11,72487,503,+,hypothetical protein_129,1989
12,73509,1049,+,hypothetical protein_130,1991
13,74558,725,+,hypothetical protein_475,1992
14,75347,3539,+,Type IV pilus biogenesis factor PilY1,1993
15,79023,320,+,hypothetical protein_131,1994
16,79524,440,+,hypothetical protein_476,1995
17,80149,557,+,hypothetical protein_477,1996
18,105631,689,-,Phosphoserine phosphatase 1,2026
19,107244,872,-,RCS-specific HTH-type transcriptional activator RclR,2028
20,110873,377,-,hypothetical protein_132,2032
21,114182,407,+,hypothetical protein_479,2036
22,117030,1604,+,hypothetical protein_480,2038
23,118914,1388,+,hypothetical protein_481,2039
24,120624,419,+,hypothetical protein_482,2040
25,123798,596,+,hypothetical protein_483,2045
26,124428,1169,+,hypothetical protein_134,2046
