,Gene Start,Gene Size,Strand,Gene Product,Accession
0,6413,1058,-,Trans-aconitate 2-methyltransferase,2462
1,9219,176,-,hypothetical protein_538,2465
2,9806,365,+,hypothetical protein_539,2466
3,12602,782,+,hypothetical protein_540,2470
4,13418,467,+,hypothetical protein_541,2471
5,14065,1967,+,Putative asparagine synthetase [glutamine-hydrolyzing],2472
6,17179,959,-,hypothetical protein_159,2474
7,18179,722,-,hypothetical protein_160,2475
8,18983,1169,-,hypothetical protein_542,2476
9,20149,2534,-,hypothetical protein_543,2477
10,22908,953,+,hypothetical protein_544,2478
11,23950,194,-,Ribonuclease VapC11,2479
12,24131,221,-,hypothetical protein_545,2480
13,24479,1304,+,D-inositol-3-phosphate glycosyltransferase_217,2481
14,26542,851,+,hypothetical protein_546,2482
15,31168,1085,-,hypothetical protein_547,2486
16,32476,950,+,hypothetical protein_548,2487
17,33787,341,-,hypothetical protein_549,2488
18,39458,500,+,Isopentenyl-diphosphate Delta-isomerase,2493
19,40268,1907,+,hypothetical protein_550,2494
