,Gene Start,Gene Size,Strand,Gene Product,Accession
0,596,1097,-,hypothetical protein_4,2
1,1897,659,-,hypothetical protein_9,3
2,2636,941,-,hypothetical protein_247,4
3,3626,329,-,hypothetical protein_248,5
4,8192,716,+,hypothetical protein_249,10
5,8936,1226,+,hypothetical protein_250,11
6,10244,497,+,hypothetical protein_251,12
7,10747,1148,+,hypothetical protein_252,13
8,11895,734,+,hypothetical protein_253,14
9,12626,1508,+,hypothetical protein_254,15
10,14137,344,+,hypothetical protein_255,16
11,14478,479,+,hypothetical protein_256,17
