,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1667,776,+,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,2709
1,2448,1166,+,Hercynine oxygenase,2710
2,7725,1592,+,Na(+)/H(+) antiporter NhaB,2713
3,10284,380,-,hypothetical protein_570,2715
4,10752,1247,-,Imidazolonepropionase,2716
5,12043,1682,-,Urocanate hydratase,2717
6,13905,1364,+,8-oxoguanine deaminase,2718
7,15785,605,+,hypothetical protein_571,2720
8,16501,1004,-,hypothetical protein_572,2721
9,17692,113,+,hypothetical protein_573,2722
10,17807,746,+,CTP:phosphoglutamine cytidylyltransferase,2723
11,18543,1652,+,2-methylisocitrate lyase,2724
12,20207,1148,+,hypothetical protein_574,2725
13,21360,1049,+,2-aminoethylphosphonate--pyruvate transaminase,2726
14,22627,1523,+,Hopanoid C-3 methylase,2727
15,24212,632,-,hypothetical protein_575,2728
16,24888,1397,-,Methanethiol oxidase,2729
17,26490,668,-,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,2730
