,Gene Start,Gene Size,Strand,Gene Product,Accession
0,246,1469,-,N-succinylglutamate 5-semialdehyde dehydrogenase,317
1,1775,653,-,hypothetical protein_298,318
2,6887,602,+,Dephospho-CoA kinase,322
3,7559,788,+,Cell division protein ZapD,323
4,13760,470,+,hypothetical protein_27,327
5,26690,1361,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,339
6,28051,1511,-,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",340
7,34818,1919,+,Penicillin-binding protein activator LpoA,346
8,36734,359,+,hypothetical protein_299,347
9,52356,569,+,Lipopolysaccharide export system protein LptC,367
10,52906,560,+,Lipopolysaccharide export system protein LptA,368
11,56944,845,+,HPr kinase/phosphorylase,373
12,63714,3791,-,hypothetical protein_29,380
13,70210,371,-,Ribosomal silencing factor RsfS,384
14,72614,1022,-,hypothetical protein_30,387
15,73655,494,-,LPS-assembly lipoprotein LptE,388
16,76979,524,+,hypothetical protein_31,390
17,77882,737,+,Oxygen regulatory protein NreC,391
18,79714,611,-,hypothetical protein_6,393
19,80454,458,-,hypothetical protein_228,394
20,81291,1160,-,hypothetical protein_207,396
