,Gene Start,Gene Size,Strand,Gene Product,Accession
0,35336,308,-,Antitoxin HigA-2_459,1849
1,35637,191,-,hypothetical protein_460,1850
2,41590,815,-,6-phosphogluconolactonase,1858
3,42471,995,-,Glucokinase,1859
4,43535,1016,-,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",1860
5,44870,353,-,hypothetical protein_122,1861
6,46447,542,-,hypothetical protein_124,1863
7,47038,467,-,hypothetical protein_125,1864
8,58967,515,+,Peptide methionine sulfoxide reductase MsrA,1881
9,59649,773,+,hypothetical protein_464,1882
