,Gene Start,Gene Size,Strand,Gene Product,Accession
0,21,1178,+,hypothetical protein_387,1368
1,2375,578,+,7-methyl-GTP pyrophosphatase,1370
2,3035,953,-,Ribosomal large subunit pseudouridine synthase C,1372
3,8674,1001,-,Tetraacyldisaccharide 4'-kinase,1376
4,12615,2270,-,ComE operon protein 3,1380
5,18048,1001,-,Acetylpolyamine amidohydrolase 2,1385
6,24563,1457,-,hypothetical protein_389,1391
7,26875,149,-,hypothetical protein_390,1393
8,29805,419,-,hypothetical protein_391,1397
9,38614,677,-,hypothetical protein_393,1412
10,39275,1175,-,8-amino-7-oxononanoate synthase 2,1413
11,40570,821,-,Aminodeoxychorismate lyase,1414
12,41384,1403,-,Isochorismate synthase MenF,1415
13,43795,659,-,Peroxiredoxin,1417
14,44726,821,-,hypothetical protein_394,1418
15,45499,485,-,hypothetical protein_395,1419
16,60123,1109,+,Putative transport protein YhhT,1429
17,62028,578,+,hypothetical protein_396,1431
18,63094,188,+,Na(+)/H(+) antiporter NhaP,1432
