,Gene Start,Gene Size,Strand,Gene Product,Accession
0,7811,674,-,hypothetical protein_418,1523
1,8533,320,-,"Toluene 1,2-dioxygenase system ferredoxin subunit",1524
2,13242,797,-,hypothetical protein_210,1529
3,24534,821,-,hypothetical protein_99,1536
4,25397,845,-,hypothetical protein_100,1537
5,26951,395,+,hypothetical protein_419,1539
6,30163,662,-,putative lipoprotein YiaD,1541
7,31525,194,-,hypothetical protein_420,1543
8,31866,446,+,hypothetical protein_421,1544
9,32421,635,+,hypothetical protein_101,1545
10,33083,1241,-,Kynureninase,1546
11,34431,911,+,Isoaspartyl peptidase,1547
12,35365,866,-,"Tryptophan 2,3-dioxygenase",1548
13,38279,755,+,hypothetical protein_422,1552
14,39044,761,+,Tol-Pal system protein TolQ,1553
15,39809,503,+,Tol-Pal system protein TolR,1554
16,40899,539,-,hypothetical protein_233,1555
17,42596,239,-,hypothetical protein_102,1560
18,43941,503,-,hypothetical protein_208,1562
