,Gene Start,Gene Size,Strand,Gene Product,Accession
0,4535,1439,+,hypothetical protein_380,1314
1,12716,1508,+,hypothetical protein_381,1319
2,18766,1358,+,putative MFS-type transporter YcaD,1323
3,20279,389,+,hypothetical protein_383,1324
4,27579,1103,-,Efflux pump periplasmic linker BepF,1327
5,28969,1268,-,Putative serine protease HtrA,1328
6,51087,1457,+,Beta-barrel assembly-enhancing protease,1343
7,52642,854,+,hypothetical protein_384,1344
8,53493,1040,+,Poly(3-hydroxyalkanoate) polymerase subunit PhaC,1345
9,55248,698,+,hypothetical protein_90,1346
