,Gene Start,Gene Size,Strand,Gene Product,Accession
0,556,194,+,hypothetical protein_584,2829
1,2604,1187,+,(S)-ureidoglycine--glyoxylate transaminase,2833
2,4391,920,+,lipid kinase YegS,2834
3,5634,536,-,hypothetical protein_585,2835
4,7300,1388,+,hypothetical protein_586,2836
5,9005,746,+,hypothetical protein_181,2838
6,11061,1004,-,putative alcohol dehydrogenase AdhA,2840
7,12378,404,-,hypothetical protein_182,2841
8,16242,665,-,Ktr system potassium uptake protein A,2844
9,19072,1124,-,hypothetical protein_184,2847
10,20446,605,-,hypothetical protein_185,2848
