,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1736,821,+,Molybdate-binding protein ModA,704
1,2599,215,+,Molybdenum-pterin-binding protein 2,705
2,2943,878,-,hypothetical protein_49,706
3,8762,707,-,hypothetical protein_318,711
4,9466,725,-,hypothetical protein_319,712
5,12834,836,-,hypothetical protein_320,716
6,13660,1364,-,hypothetical protein_321,717
7,16758,998,-,hypothetical protein_322,719
8,19040,767,-,hypothetical protein_51,722
9,19899,1076,-,"1,2-phenylacetyl-CoA epoxidase, subunit E",723
