,Gene Start,Gene Size,Strand,Gene Product,Accession
0,460,344,+,hypothetical protein_368,1205
1,888,1316,+,Cobalt-zinc-cadmium resistance protein CzcC,1206
2,2959,470,+,Cobalt-zinc-cadmium resistance protein CzcB,1208
3,5796,857,+,Protease HtpX ,1211
4,8866,581,+,hypothetical protein_83,1215
5,9621,830,+,hypothetical protein_84,1216
6,21897,566,-,hypothetical protein_87,1226
7,22834,578,-,hypothetical protein_88,1227
8,24299,1364,-,Proline/betaine transporter,1229
9,27049,620,-,Intermembrane transport lipoprotein PqiC,1231
10,27666,1640,-,Intermembrane transport protein PqiB,1232
11,29299,1361,-,Intermembrane transport protein PqiA,1233
12,30980,791,-,hypothetical protein_370,1234
13,31768,767,-,Exopolysaccharide glucosyl ketal-pyruvate-transferase,1235
14,32528,731,-,hypothetical protein_371,1236
15,33390,743,+,hypothetical protein_372,1237
16,34119,983,-,hypothetical protein_373,1238
17,35114,1391,+,hypothetical protein_374,1239
18,36517,2084,+,hypothetical protein_375,1240
19,38789,779,+,hypothetical protein_376,1241
