,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1908,491,+,hypothetical protein_198,1448
1,5042,1970,+,hypothetical protein_93,1451
2,20787,974,+,Thiamine-monophosphate kinase,1466
3,21870,308,-,hypothetical protein_401,1467
4,27012,167,+,hypothetical protein_402,1470
5,27370,431,+,hypothetical protein_403,1471
6,27884,1427,-,hypothetical protein_229,1472
7,29468,356,-,hypothetical protein_404,1473
8,29938,1550,+,hypothetical protein_405,1474
9,31547,1283,-,Anaerobic nitric oxide reductase transcription regulator NorR,1475
10,32827,3050,-,Vitamin B12 import ATP-binding protein BtuD_406,1476
11,35983,752,-,Foldase protein PrsA_407,1477
12,36778,1385,-,"Hemolysin secretion protein D, chromosomal",1478
13,38153,2405,-,hypothetical protein_408,1479
14,40595,1478,-,putative efflux pump outer membrane protein TtgC,1480
15,42215,302,-,hypothetical protein_409,1481
16,42597,251,-,hypothetical protein_410,1482
17,43256,773,+,Iron-sulfur cluster carrier protein,1483
18,44023,1043,+,hypothetical protein_411,1484
19,45063,524,-,hypothetical protein_412,1485
20,45768,593,-,hypothetical protein_413,1486
21,46800,263,-,hypothetical protein_414,1487
22,47339,266,+,hypothetical protein_415,1488
23,48395,755,+,Demethylmenaquinone methyltransferase,1490
24,49166,992,-,hypothetical protein_95,1491
25,50178,728,-,hypothetical protein_96,1492
26,51140,686,+,Phosphate regulon transcriptional regulatory protein PhoB,1493
27,52153,251,-,hypothetical protein_232,1494
28,59101,797,+,Esterase YbfF,1497
29,63522,1277,-,Protein HemY,1500
30,64796,1055,-,hypothetical protein_97,1501
