,Gene Start,Gene Size,Strand,Gene Product,Accession
0,14197,239,+,FAD assembly factor SdhE,1165
1,14384,449,+,hypothetical protein_366,1166
2,17278,632,+,hypothetical protein_78,1169
3,17894,1049,+,Sigma factor AlgU regulatory protein MucB,1170
4,22384,371,+,hypothetical protein_79,1173
5,24368,776,+,DNA repair protein RecO,1176
6,25865,383,+,Holo-[acyl-carrier-protein] synthase,1178
7,26334,2756,-,Signal transduction histidine-protein kinase BarA,1179
8,32236,416,+,hypothetical protein_367,1183
9,32707,476,-,hypothetical protein_80,1184
10,37295,281,-,hypothetical protein_81,1188
11,38389,2066,+,Transketolase 1,1189
12,41736,884,+,"Phosphoribulokinase, plasmid",1191
