,Gene Start,Gene Size,Strand,Gene Product,Accession
0,457,488,+,hypothetical protein_38,524
1,4748,2102,+,Tail-specific protease,527
2,7110,1475,+,hypothetical protein_39,528
3,8705,662,+,hypothetical protein_313,529
4,21819,725,-,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,543
5,26804,1340,-,tRNA(Ile)-lysidine synthase,548
6,36164,1064,-,UDP-3-O-acylglucosamine N-acyltransferase,555
7,42706,833,-,Phosphatidate cytidylyltransferase,560
8,73278,1280,-,Dihydrofolate synthase/folylpolyglutamate synthase,588
9,77512,713,-,N-(5'-phosphoribosyl)anthranilate isomerase,592
10,103727,416,+,hypothetical protein_314,613
11,104143,992,+,hypothetical protein_43,614
12,107109,722,-,hypothetical protein_44,616
13,109140,257,+,hypothetical protein_315,618
14,109572,887,-,"3',5'-nucleoside bisphosphate phosphatase",619
15,110643,1160,-,hypothetical protein_45,620
16,124552,761,-,hypothetical protein_46,633
17,125331,1151,-,Outer membrane protein assembly factor BamB,634
18,126479,641,-,hypothetical protein_47,635
19,128609,1142,-,Cytoskeleton protein RodZ,637
20,129738,773,-,Photosystem I assembly protein Ycf3,638
21,132503,392,-,hypothetical protein_316,642
