,Gene Start,Gene Size,Strand,Gene Product,Accession
0,6224,683,+,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,2082
1,7649,935,+,hypothetical protein_135,2085
2,10197,839,+,hypothetical protein_486,2088
3,11125,539,+,hypothetical protein_487,2089
4,16083,182,-,Cyclic di-GMP phosphodiesterase CdgJ_488,2093
5,16909,317,+,hypothetical protein_489,2095
6,17379,515,+,Heme oxygenase HutZ,2096
7,18011,353,-,hypothetical protein_490,2097
8,18634,1154,-,hypothetical protein_136,2098
9,20106,857,-,putative protein_491,2099
10,26543,230,+,hypothetical protein_492,2106
11,26770,167,+,tRNA(fMet)-specific endonuclease VapC,2107
