,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1266,575,+,General stress protein 16U,1758
1,1979,1136,+,hypothetical protein_115,1759
2,3112,728,+,hypothetical protein_116,1760
3,3837,1112,+,Cysteine protease StiP,1761
4,4973,938,+,hypothetical protein_117,1762
5,6089,2459,-,hypothetical protein_118,1763
6,14112,1331,-,hypothetical protein_452,1768
7,15674,1265,+,Proton/glutamate-aspartate symporter,1769
8,17041,497,+,hypothetical protein_453,1770
9,17566,3965,-,Translocation and assembly module subunit TamB,1771
10,21534,1634,-,Translocation and assembly module subunit TamA,1772
11,26115,497,+,hypothetical protein_119,1774
12,26704,272,-,hypothetical protein_120,1775
13,27162,212,+,hypothetical protein_121,1776
14,29232,1889,+,hypothetical protein,1778
15,31170,293,+,3-oxoacyl-[acyl-carrier-protein] reductase FabG,1779
16,31679,326,+,hypothetical protein_454,1780
17,39014,1070,+,Pyruvate dehydrogenase E1 component subunit alpha,1785
18,40177,980,+,Pyruvate dehydrogenase E1 component subunit beta,1786
