,Gene Start,Gene Size,Strand,Gene Product,Accession
0,6748,650,+,hypothetical protein_432,1643
1,8183,203,+,hypothetical protein_214,1645
2,12710,902,-,Protein CbbX,1647
3,13952,419,-,"Ribulose bisphosphate carboxylase small chain, chromosomal",1648
4,14389,1469,-,Ribulose bisphosphate carboxylase large chain,1649
5,17021,458,-,hypothetical protein_108,1651
6,18241,494,-,putative N-acetyltransferase YafP,1653
7,18760,560,-,hypothetical protein_433,1654
8,19812,449,+,hypothetical protein_434,1655
9,20406,827,-,Putative oxidoreductase SadH,1656
10,21556,293,-,hypothetical protein_435,1657
11,22208,1520,+,Histidine ammonia-lyase,1658
12,23813,920,+,Manganese efflux system protein MneP,1659
13,26259,506,+,putative protein,1662
14,29377,857,+,hypothetical protein_109,1664
15,30282,353,-,Chaperone modulatory protein CbpM,1665
16,31500,194,-,hypothetical protein_110,1667
17,31862,605,+,hypothetical protein_111,1668
18,32849,1316,+,putative nitrate/nitrite transporter NarK2,1669
19,36117,1778,-,hypothetical protein_112,1671
20,38619,314,+,hypothetical protein_436,1672
21,39253,1697,+,Glycine betaine transporter,1673
22,40947,467,+,Spore protein SP21,1674
23,51741,749,+,hypothetical protein_113,1682
24,52763,800,+,Kynurenine formamidase_437,1683
25,53626,956,+,hypothetical protein_114,1684
26,54967,533,-,hypothetical protein_234,1685
27,55675,611,-,hypothetical protein_438,1686
