,Gene Start,Gene Size,Strand,Gene Product,Accession
0,5590,488,+,hypothetical protein_580,2805
1,6675,236,-,hypothetical protein_581,2807
2,7157,614,-,hypothetical protein_582,2808
3,8234,1124,+,D-inositol-3-phosphate glycosyltransferase,2809
4,9355,737,-,Trans-aconitate 2-methyltransferase_178,2810
5,10034,1322,-,D-inositol-3-phosphate glycosyltransferase_179,2811
6,12151,317,+,hypothetical protein_583,2813
7,12533,563,-,hypothetical protein_220,2814
8,13331,878,-,hypothetical protein_180,2815
9,17675,1562,-,Glycogen synthase,2818
10,20963,1265,-,Glucose-1-phosphate adenylyltransferase,2820
11,22290,2525,-,Maltodextrin phosphorylase,2821
