,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1001,2228,-,hypothetical protein_331,857
1,3241,1142,-,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,858
2,4765,1046,-,hypothetical protein_332,859
3,5808,206,-,hypothetical protein_333,860
4,6011,1415,-,hypothetical protein_334,861
5,8344,932,-,hypothetical protein_335,862
6,9273,1445,-,Lipopolysaccharide biosynthesis protein WzxC,863
7,11374,692,+,hypothetical protein_336,864
8,12248,1097,+,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",865
9,13357,674,+,hypothetical protein_337,866
10,14035,1055,+,hypothetical protein_338,867
11,19304,1223,-,Na(+)/H(+) antiporter NhaA,872
12,20717,698,-,Transcriptional regulatory protein TdiR,873
13,21688,188,+,hypothetical protein_57,874
14,22660,296,-,hypothetical protein_7,876
15,23677,1211,+,Adaptive-response sensory-kinase SasA,877
16,24923,722,-,hypothetical protein_230,878
17,25923,2627,+,Transaldolase,879
18,28583,314,+,hypothetical protein_58,880
19,28899,1385,+,Glucose-6-phosphate 1-dehydrogenase 1,881
20,30505,464,+,Mercuric resistance operon regulatory protein,882
21,31042,2432,+,hypothetical protein_199,883
