,Gene Start,Gene Size,Strand,Gene Product,Accession
0,67,2249,+,hypothetical protein_145,2178
1,2313,1280,+,hypothetical protein_146,2179
2,3668,827,+,Rhamnosyltransferase WbbL,2180
3,4480,1256,+,hypothetical protein_495,2181
4,6180,833,+,hypothetical protein_496,2182
5,7316,860,+,hypothetical protein_497,2183
6,8330,1238,+,hypothetical protein_147,2185
7,9555,869,+,hypothetical protein_148,2186
8,12465,311,+,hypothetical protein_498,2188
9,13423,548,+,hypothetical protein_499,2189
10,14056,935,+,hypothetical protein_149,2190
