,Gene Start,Gene Size,Strand,Gene Product,Accession
0,727,1073,+,hypothetical protein_262,74
1,6537,392,+,hypothetical protein_263,79
2,7777,1841,+,Protease 4,81
3,11432,1028,-,hypothetical protein_15,83
4,12453,1325,-,CAI-1 autoinducer sensor kinase/phosphatase CqsS,84
5,14268,383,+,hypothetical protein_16,85
6,16297,1037,+,hypothetical protein_264,87
7,17331,1757,+,putative multidrug ABC transporter ATP-binding protein YbhF,88
8,19085,1145,+,putative multidrug ABC transporter permease YbhS,89
9,20236,1112,+,putative multidrug ABC transporter permease YbhR,90
10,21359,581,+,hypothetical protein_265,91
