,Gene Start,Gene Size,Strand,Gene Product,Accession
0,966,356,+,hypothetical protein_226,24
1,2475,299,+,hypothetical protein_257,26
2,4078,788,-,Peptidoglycan-associated lipoprotein,27
3,4863,386,-,hypothetical protein_258,28
4,5425,854,-,Glutamate racemase,29
5,6322,653,-,hypothetical protein_10,30
6,7048,575,-,hypothetical protein_259,31
7,8717,2903,+,hypothetical protein_11,33
8,11623,986,+,hypothetical protein_12,34
9,12609,1175,+,Putative phospholipase A1,35
10,15238,602,+,hypothetical protein_14,38
11,19230,587,+,"RNA 2',3'-cyclic phosphodiesterase",41
12,20971,488,+,Regulatory protein RecX,43
