,Gene Start,Gene Size,Strand,Gene Product,Accession
0,3196,326,-,hypothetical protein_277,213
1,3488,440,-,hypothetical protein_23,214
2,3934,263,-,hypothetical protein_24,215
3,8037,1199,+,Cyclic di-GMP phosphodiesterase CdgJ,221
4,10230,809,+,Molybdenum-pterin-binding protein MopA,223
5,11494,290,+,hypothetical protein_278,224
6,11878,167,+,hypothetical protein_201,225
7,20197,1019,-,Vitamin B12 import ATP-binding protein BtuD,233
8,22321,308,-,hypothetical protein_279,235
9,23656,842,-,hypothetical protein_280,237
10,24523,629,-,hypothetical protein_196,238
