,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1494,2591,+,hypothetical protein_103,1573
1,4335,680,+,hypothetical protein_423,1574
2,6164,1175,+,hypothetical protein_221,1576
3,7336,1415,+,Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase,1577
4,8788,893,+,Carbohydrate deacetylase,1578
5,9668,2678,+,hypothetical protein_424,1579
6,12465,737,+,"Propane 2-monooxygenase, reductase component",1580
7,14038,893,+,hypothetical protein_425,1582
8,15092,1454,-,Serine/threonine-protein kinase PknD,1583
9,16716,695,-,hypothetical protein_104,1584
10,17628,1265,-,hypothetical protein_426,1585
11,23641,281,+,Foldase protein PrsA,1592
12,24102,428,+,Foldase protein PrsA_213,1593
13,34144,1031,-,Beta-hexosaminidase,1603
14,35474,758,-,hypothetical protein_107,1604
15,37644,662,+,Kynurenine formamidase,1607
16,39316,101,+,hypothetical protein_427,1609
