,Gene Start,Gene Size,Strand,Gene Product,Accession
0,499,353,-,hypothetical protein_281,240
1,1374,1697,+,hypothetical protein_282,241
2,3201,548,+,hypothetical protein_283,242
3,3787,323,-,Thioredoxin 1,243
4,4188,356,-,hypothetical protein_192,244
5,4678,2000,-,Glucans biosynthesis glucosyltransferase H,245
6,6650,1553,-,Glucans biosynthesis protein G,246
7,8558,578,-,hypothetical protein_284,247
8,9799,491,+,hypothetical protein_285,248
9,10365,665,+,Intermembrane phospholipid transport system binding protein MlaC,249
10,11244,1067,+,hypothetical protein_286,250
11,14910,1073,-,hypothetical protein_287,253
12,16026,395,-,hypothetical protein_288,254
13,17206,182,+,hypothetical protein_25,256
14,18035,896,+,hypothetical protein_2,258
15,19750,596,-,hypothetical protein_289,260
16,20343,1172,-,Beta-barrel assembly-enhancing protease_290,261
17,21512,743,-,hypothetical protein_291,262
