,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1274,167,+,hypothetical protein_439,1689
1,2636,512,+,putative protein_440,1691
2,14420,785,-,"4,5-DOPA dioxygenase extradiol",1703
3,15283,1814,-,Trehalase,1704
4,19331,2147,-,hypothetical protein_441,1706
5,21921,2237,+,Actin cross-linking toxin VgrG1,1707
6,24186,476,+,hypothetical protein_442,1708
7,24673,1106,+,hypothetical protein_443,1709
8,25776,1043,+,hypothetical protein_444,1710
9,30837,1259,+,hypothetical protein_445,1716
10,32219,1034,+,hypothetical protein_446,1717
11,35958,791,+,hypothetical protein_447,1721
