,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1213,713,+,hypothetical protein_554,2553
1,3116,2009,+,hypothetical protein_222,2555
2,6964,167,+,hypothetical protein_556,2557
3,10772,572,+,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,2561
4,11479,353,-,hypothetical protein_164,2562
5,14011,803,-,DnaA regulatory inactivator Hda,2567
6,14954,1094,-,hypothetical protein_557,2568
7,21159,3413,+,hypothetical protein_558,2575
8,24590,1070,+,Tol-Pal system protein TolB,2576
9,25676,1934,+,hypothetical protein_165,2577
10,45309,257,-,hypothetical protein_241,2595
11,45721,1070,-,hypothetical protein_560,2596
