,Gene Start,Gene Size,Strand,Gene Product,Accession
0,1745,428,+,hypothetical protein_267,125
1,2200,650,+,Acyl carrier protein phosphodiesterase,126
2,2847,1307,+,hypothetical protein_268,127
3,11457,1457,+,Sensor histidine kinase GlrK,136
4,13092,551,+,hypothetical protein_269,137
5,15750,1769,-,putative sulfate transporter,140
6,17527,704,-,Hydroxyacylglutathione hydrolase,141
7,18334,1244,+,hypothetical protein_270,142
8,19738,542,-,Photosynthetic apparatus regulatory protein RegA,143
9,20301,1268,-,Sensor histidine kinase RegB,144
10,21734,890,+,hypothetical protein_271,145
11,22832,2309,+,1-deoxy-D-xylulose-5-phosphate synthase,146
12,26681,1319,-,Chromosome partition protein Smc,150
13,33833,1136,-,hypothetical protein_273,155
14,34974,1151,-,"GTP 3',8-cyclase",156
15,36191,920,-,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,157
16,39481,746,-,hypothetical protein_20,159
17,40224,1967,-,Squalene--hopene cyclase,160
18,42253,1085,-,hypothetical protein_21,161
19,43704,716,+,hypothetical protein_195,162
20,44494,1427,+,hypothetical protein_22,163
21,46934,614,+,hypothetical protein_274,165
